vid_name,prompt,label
08709_02.mp4,Beautiful waterfall in tropical rainforest.,39.2972222195499
08573_08.mp4,"Countryside in north italy,october 2015: tractor plowing a field before sowing",37.2101254313796
03061_01.mp4,"Orihuela, spain - april 17, 2019: aerial view of  old university and historical part of town, orihuela, alicante",71.6071889504982
07879_05.mp4,"Aerial of historic church ruins in poison glen, ireland",56.1900024014877
05676_00.mp4,Cranes in the field during ploughing collect worms,25.3454272220552
06834_06.mp4,Aerial view of city in the morning,52.4102741525999
09043_08.mp4,Slow motion shot a pug mix chihuahua standing outside during summer turning his head.,36.3292672690411
08801_05.mp4,Frying potato with mushroom and onion in butter oil using a frying pan in restaurant kitchen,65.1107958839715
08390_07.mp4,Sun filtering through railings at sunset in the city,52.8454860514486
02025_08.mp4,Two young carpenters doing woodwork at furniture manufacturing,25.2043813324505
01981_00.mp4,"Time-lapse of sagrada familia, barcelona, spain.",36.341055160782
06399_03.mp4,Late autumn forest hills. aerial view forest in autumn.,66.9669081886934
09202_07.mp4,"Sunset in janubio  salt ,wind and ocean",68.8230204934154
01873_00.mp4,Waterfall at tropical forest,47.5129593168912
09583_05.mp4,"Show time text animation around disco ball, with alpha channel, rendering, background, loop",52.2108590585957
04624_02.mp4,"A bee sitting on a daisy flower on a sunny day. chamomile swaying in the wind in clear weather. natural forest background, wildflowers. close-up",39.458827548338
05420_05.mp4,"Novosibirsk, russia - august 28, 2015:unidentified participants during of historical festival of medieval culture",48.2909394219288
05175_03.mp4,Timelapse of clouds over forest lake at sunset,75.3609041223288
03433_00.mp4,Hen and chickens poultry in a rural yard. chickens in a barnyard in the village,41.3703065264982
06586_05.mp4,Mountains in the summer,65.1674623311495
01984_02.mp4,Human lungs are affected by pneumonia coronavirus.x-ray 3danimation,31.7007743989772
07300_01.mp4,Tropical sandy beach with calm water on sandbank. destinations with nobody,62.6972688869264
04022_06.mp4,aerial view on the pontoon bridge across the river.,43.3750876777057
00874_02.mp4,Underwater first person shot of how the waves hitting the coast,63.4502167021775
03042_07.mp4,Large tractors and shovels work inside a recycling center.,50.7951440998654
08868_01.mp4,"Timelapse of traffic on nanpu spiral at night ,  shanghai,  china",45.9908969227408
04215_04.mp4,Abstract red blinking defocused christmas color lights,55.4590555918591
01071_05.mp4,"Moscow, russia - july , 17 2016: the main building of moscow state university on sparrow hills, russia",68.1917939402454
09404_06.mp4,Big buck deer rubbing horns in shrub during early fall season.,40.8089420086808
07062_08.mp4,Electricity wires with temple at the background downtown phnom penh cambodia,38.2767774689522
03122_06.mp4,Earth and coronavirus cell rotating seamless loop coronavirus 2019-ncov novel coronavirus concept loop mode.,22.4202128753676
08834_07.mp4,Preparing meat for barbecue,71.6515716771608
08772_07.mp4,"Row of white luxury yachts in harbor, reflections in calm water, blue morning sky.",58.6144028174449
05242_04.mp4,Aerial panorama shot. shooting along the railway and the river. summer sunny day. to the left of the road is a country village. to the right of the road are meadows and trees.,56.695248814866
09831_05.mp4,"Beautiful scenic landscape, river, green forest",65.6730591923744
06078_09.mp4,Aerial view of people on the beach near the sea,62.5661744404558
05996_00.mp4,Aerial view of wind turbine under construction,31.6276756568333
00991_09.mp4,"Abstract image of fire smoke during the night, zagreb, croatia.",69.7510766457763
09882_08.mp4,"Close up of ripples and rolling waves on a sandy beach, handheld.",67.729326169356
03249_07.mp4,"""""""A businessman pressing a profitability """"""""rentabilität"""""""" button in german on a futuristic computer  display""""""",32.3424521984111
